keyword,family,pillar,intent,volume_fl_emd,competition,cpc_low,cpc_high,volume_geo,evidence,owner_url,exists_on_lakewoodranch,exists_on_bradenton
sarasota concrete,core,concrete,commercial,50,High 97,4.00,13.68,BLOCKED,VOLUME,/,yes (/sarasota/),no
sarasota concrete contractor,contractor,concrete,commercial,50,Medium 63,4.51,22.60,BLOCKED,VOLUME,/concrete/,yes,no
sarasota concrete repair,repair,concrete,commercial,50,Medium 53,,,BLOCKED,VOLUME,/concrete/repair/,yes (/concrete-resurfacing/sarasota/),no
sarasota concrete company,company,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/concrete/,yes,no
sarasota concrete driveway,driveway,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/concrete/driveways/sarasota/,yes (/concrete-driveways/sarasota/),no
sarasota concrete patio,patio,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/concrete/patios-lanais/,yes (/concrete-patios/sarasota/),no
venice concrete,core,concrete,commercial,50,Medium 52,,,BLOCKED,VOLUME,/areas/venice/,yes (/venice/),no
venice concrete contractors,contractor,concrete,commercial,50,High 78,,,BLOCKED,VOLUME,/areas/venice/,yes,no
north port concrete,core,concrete,commercial,50,Low 31,,,BLOCKED,VOLUME,/areas/north-port/,yes (/north-port/),no
north port concrete contractors,contractor,concrete,commercial,50,High 100,,,BLOCKED,VOLUME,/areas/north-port/,yes,no
port charlotte concrete,core,concrete,commercial,50,Low 22,,,BLOCKED,VOLUME,/areas/port-charlotte/,yes (/port-charlotte/),no
concrete port charlotte,reverse_core,concrete,commercial,50,High 92,3.51,12.00,BLOCKED,VOLUME,/areas/port-charlotte/,yes,no
nokomis concrete,core,concrete,commercial,50,,,,BLOCKED,VOLUME,/areas/nokomis/,yes (/nokomis/),no
siesta key concrete,core,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/areas/siesta-key/,no,no
osprey concrete,core,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/areas/osprey/,yes (/osprey/),no
englewood concrete,core,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/areas/englewood/,no,no
sarasota county concrete,regional,concrete,commercial,—,,,,BLOCKED,VOLUME(none),/areas/sarasota-county/,no,no
concrete contractors near me (Sarasota geo),near_me,concrete,commercial,,,,,BLOCKED,COMPETITOR,/,no,no
concrete company sarasota fl,company,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/,no,no
concrete driveway cost sarasota,cost,concrete,commercial,,,,,BLOCKED,COMPETITOR,/pricing/concrete/,yes (blog cost),no
concrete driveway replacement sarasota,replacement,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/driveways/,yes,no
driveway extension sarasota,extension,concrete,commercial,,,,,BLOCKED,EXPERT-GAP,/concrete/driveways/,no,no
concrete patio sarasota fl,patio,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/patios-lanais/,yes,no
lanai slab sarasota,patio,concrete,commercial,,,,,BLOCKED,EXPERT-GAP,/concrete/patios-lanais/,no,no
concrete pool deck sarasota,pool_deck,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/pool-decks/,yes,no
pool deck resurfacing sarasota,resurfacing,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/resurfacing/,yes,no
cool deck resurfacing sarasota,resurfacing,concrete,commercial,,,,,BLOCKED,COMPETITOR,/compare/cool-deck-vs-pavers/,no,no
kool deck repair sarasota,resurfacing,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/resurfacing/,no,no
stamped concrete sarasota,stamped,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/stamped/,yes,no
stamped concrete cost sarasota,cost,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/stamped/,yes (blog cost),no
concrete slab sarasota,slab,concrete,commercial,,,,,BLOCKED,COMPETITOR,/concrete/slabs/,yes,no
shed pad concrete sarasota,slab,concrete,commercial,,,,,BLOCKED,EXPERT-GAP,/concrete/slabs/,no,no
generator pad sarasota,slab,concrete,commercial,,,,,BLOCKED,EXPERT-GAP,/concrete/slabs/,no,no
