id,question,intent,lead_stage,geo,pillar,evidence,source,volume,owner_url,format
1,How much does a paver pool deck cost per square foot in Sarasota in 2026?,commercial,consider,Sarasota,pavers,COMPETITOR,handys.now; tuscanpavingstone; homeyou (cost pages),BLOCKED,/pricing/pool-decks/,table+capsule
2,What does a two-car concrete driveway cost in Sarasota County?,commercial,consider,Sarasota County,concrete,COMPETITOR,homeblue/homeadvisor cost pages,BLOCKED,/pricing/concrete/,table+capsule
3,What does a 12x20 lanai slab cost in Venice?,commercial,consider,Venice,concrete,EXPERT-GAP,audit: no local lanai pricing,BLOCKED,/pricing/concrete/,capsule
4,When is pool deck resurfacing cheaper than replacement in Sarasota and when is it money wasted?,commercial,consider,Sarasota,concrete,COMPETITOR,paradigm/elite FAQ; decocreteservices,BLOCKED,/compare/resurface-vs-replace-pool-deck/,comparison
5,What does travertine cost installed around a pool on Siesta Key?,commercial,consider,Siesta Key,pavers,COMPETITOR,tuscan; wellbuiltflorida,BLOCKED,/pavers/pool-decks/siesta-key/,capsule
6,How much does paver cleaning and sealing cost per square foot on the Suncoast?,commercial,consider,Suncoast,pavers,COMPETITOR,paversealingsarasotafl.com cost article,BLOCKED,/pavers/sealing/,table
7,Why do three Sarasota quotes for the same driveway differ by thousands of dollars?,informational,consider,Sarasota,both,EXPERT-GAP,audit: no competitor explains,BLOCKED,/pricing/,article
8,What is the Sarasota Concrete Cost Index and how is it calculated?,informational,research,Sarasota County,both,EXPERT-GAP,own dataset,BLOCKED,/pricing/sarasota-concrete-cost-index/,dataset
9,Do hardscape prices rise during snowbird season from January to April?,informational,consider,Sarasota County,both,EXPERT-GAP,seasonality (scgov population),BLOCKED,/pricing/,capsule
10,How much deposit is normal for a concrete or paver job in Florida and what should the contract say?,informational,decide,Florida,both,EXPERT-GAP,F.S. 489.126 deposit rules,BLOCKED,/guides/deposits-and-warranties/,article
11,What does a permit add to the cost and timeline of a driveway in the City of Venice?,informational,consider,Venice,both,EXPERT-GAP,venicegov engineering,BLOCKED,/permits/venice/,capsule
12,How much does it cost to lift and reset sunken pavers after a storm?,commercial,consider,Sarasota County,pavers,EXPERT-GAP,post-storm blogs (no local pricing),BLOCKED,/pavers/repair-storm-restoration/,capsule
13,What does a generator or AC pad cost in Sarasota?,commercial,consider,Sarasota,concrete,EXPERT-GAP,audit,BLOCKED,/concrete/slabs/,capsule
14,How much more does a 6-inch driveway cost than a 4-inch driveway?,informational,consider,Sarasota County,concrete,COMPETITOR,thickness guides,BLOCKED,/compare/4-inch-vs-6-inch/,comparison
15,What does stamped concrete cost versus pavers for a Sarasota patio?,commercial,consider,Sarasota,concrete,COMPETITOR,homeadvisor stamped pages,BLOCKED,/concrete/stamped/,table
16,How much does a marble or porcelain paver pool deck cost on Longboat Key?,commercial,consider,Longboat Key,pavers,EXPERT-GAP,audit,BLOCKED,/pavers/pool-decks/longboat-key/,capsule
17,Can I finance a pool deck or driveway project?,commercial,decide,Sarasota County,both,COMPETITOR,pavermac financing,BLOCKED,/financing/,page
18,Is a paver driveway or a concrete driveway cheaper over 20 years in North Port?,informational,consider,North Port,both,COMPETITOR,LWR blog pavers vs concrete,BLOCKED,/compare/concrete-vs-pavers-driveway/,comparison
19,Do I need a permit to replace my driveway in unincorporated Sarasota County?,informational,consider,Sarasota County,both,EXPERT-GAP,Sarasota County Code ch. 98 §98-3; ch. 74,BLOCKED,/permits/sarasota-county/,capsule
20,Who issues the permit for a driveway inside Sarasota city limits?,informational,consider,City of Sarasota,both,EXPERT-GAP,sarasotafl.gov FTG portal,BLOCKED,/permits/city-of-sarasota/,capsule
21,Does replacing the apron between the sidewalk and the street need a City of Sarasota permit?,informational,consider,City of Sarasota,both,COMPETITOR,tropicalgardenslandscape (local guide),BLOCKED,/permits/city-of-sarasota/,capsule
22,Do I need a culvert permit for a driveway on a North Port GDC lot?,informational,consider,North Port,both,EXPERT-GAP,North Port ROW use permit form,BLOCKED,/permits/north-port/,capsule
23,What does the City of Venice require for pavers in the right-of-way?,informational,consider,Venice,pavers,EXPERT-GAP,Venice Code ch. 62,BLOCKED,/permits/venice/,capsule
24,Does the Town of Longboat Key require a permit for a paver driveway or pool deck?,informational,consider,Longboat Key,both,EXPERT-GAP,longboatkey.org; Code ch. 154/158,BLOCKED,/permits/longboat-key/,capsule
25,Does Charlotte County require a permit for a concrete slab or for pavers?,informational,consider,Charlotte County,both,EXPERT-GAP,charlottecountyfl.gov residential slab page,BLOCKED,/permits/charlotte-county/,capsule
26,Who pulls the permit for hardscape: the homeowner or the contractor?,informational,decide,Sarasota County,both,COMPETITOR,sarasotapermits.com,BLOCKED,/permits/,capsule
27,What is a Notice of Commencement and when does Charlotte County require one?,informational,decide,Charlotte County,both,EXPERT-GAP,charlottecountyfl.gov,BLOCKED,/permits/charlotte-county/,capsule
28,Can I do my own driveway as an owner-builder in Sarasota County?,informational,consider,Sarasota County,both,EXPERT-GAP,Code §22-122 owner-contractor,BLOCKED,/permits/sarasota-county/,capsule
29,What happens if a previous owner replaced the pool deck without a permit?,informational,research,Sarasota County,both,EXPERT-GAP,audit,BLOCKED,/permits/,capsule
30,How long does a driveway or slab permit take in Sarasota County?,informational,consider,Sarasota County,both,COMPETITOR,permitflow guide,BLOCKED,/permits/sarasota-county/,capsule
31,Is a permit required for a shed pad or AC pad under 100 square feet in Sarasota County?,informational,consider,Sarasota County,concrete,COMPETITOR,permitflow shed rule,BLOCKED,/concrete/slabs/,capsule
32,Does a pool deck overlay need a permit?,informational,consider,Sarasota County,concrete,EXPERT-GAP,audit,BLOCKED,/concrete/resurfacing/,capsule
33,What is the $7500 residential permit exemption (HB 803) and does it cover flatwork?,informational,consider,Sarasota County,both,EXPERT-GAP,scgov Bulletin 2026-0002 (snippet),BLOCKED,/permits/,capsule
34,Does replacing pavers with new pavers on the same footprint need a permit?,informational,consider,Sarasota County,pavers,EXPERT-GAP,audit,BLOCKED,/permits/,capsule
35,Does the 50 percent impervious-coverage limit stop my driveway extension?,informational,consider,Sarasota County,both,EXPERT-GAP,Zoning App. A §6.5,BLOCKED,/guides/permeable-pavers-impervious-limit/,article
36,Do permeable pavers count as impervious surface in Sarasota County?,informational,consider,Sarasota County,pavers,EXPERT-GAP,Zoning App. A §6.5; LID guidance,BLOCKED,/guides/permeable-pavers-impervious-limit/,capsule
37,How do I look up existing permits on my Sarasota County property?,informational,research,Sarasota County,both,EXPERT-GAP,building.scgov.net,BLOCKED,/permits/sarasota-county/,capsule
38,Does a seat wall or decorative retaining wall need a permit in Sarasota County?,informational,consider,Sarasota County,pavers,COMPETITOR,City of Sarasota 3.5 ft rule (snippet),BLOCKED,/pavers/retaining-walls-outdoor-living/,capsule
39,Does a golf-cart path or driveway widening need approval in Venice-area communities?,informational,consider,Venice,both,EXPERT-GAP,HOA ARC guides,BLOCKED,/guides/golf-cart-paths/,article
40,Which office handles permits on Siesta Key: county or city?,informational,consider,Siesta Key,both,EXPERT-GAP,jurisdiction map,BLOCKED,/areas/siesta-key/,capsule
41,Does a new pool deck count toward the FEMA 50 percent rule on Siesta Key?,informational,consider,Siesta Key,both,EXPERT-GAP,FEMA P-758; Sarasota Property Appraiser; Fort Myers Beach FAQ q13,BLOCKED,/permits/flood-zones-50-percent-rule/,capsule
42,What is the difference between AE and VE flood zones for hardscape?,informational,research,barrier islands,both,EXPERT-GAP,FEMA zone definitions,BLOCKED,/permits/flood-zones-50-percent-rule/,capsule
43,Can I build a pool deck seaward of the Gulf Beach Setback Line?,informational,consider,Sarasota County,both,EXPERT-GAP,Code ch. 54 §54-723; variance cases,BLOCKED,/permits/flood-zones-50-percent-rule/,capsule
44,What lighting can I put on a pool deck on Longboat Key between May 1 and October 31?,informational,consider,Longboat Key,pavers,EXPERT-GAP,LBK Ordinance 2021-01 ch. 100,BLOCKED,/permits/sea-turtle-lighting/,capsule
45,What does 560-nanometer turtle-friendly lighting mean?,informational,research,barrier islands,pavers,EXPERT-GAP,longboatkey.org/218,BLOCKED,/permits/sea-turtle-lighting/,capsule
